food_type,category,food_group,moisture_level,oil_content,storage_condition,temperature,packaging,time_since_prep_hours,remaining_consumable_hours
paneer_butter_masala,dairy,curry,high,medium,room,36.6,closed,14.5,0.0
dosa,veg,breakfast,medium,low,room,34.1,open,17.4,0.0
veg_pulao,veg,rice,medium,medium,fridge,2.6,open,26.8,7.07
curd,dairy,liquid,high,low,fridge,6.6,closed,3.9,69.69
idli,veg,breakfast,medium,low,fridge,3.3,closed,12.6,27.74
chicken_biryani,nonveg,rice,medium,medium,fridge,4.9,open,2.6,20.1
paneer_butter_masala,dairy,curry,high,medium,room,33.5,closed,33.2,0.0
gulab_jamun,dairy,sweet,high,medium,room,34.4,closed,33.1,0.0
roti,veg,bread,low,low,room,31.6,open,2.6,14.28
paneer_butter_masala,dairy,curry,high,medium,room,27.1,closed,45.6,0.0
gulab_jamun,dairy,sweet,high,medium,room,28.2,closed,16.5,1.48
veg_pulao,veg,rice,medium,medium,room,34.3,open,0.1,9.42
chicken_curry,nonveg,curry,high,medium,room,26.9,closed,41.7,0.0
samosa,veg,fried,low,high,fridge,6.4,open,45.7,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,7.6,closed,7.4,26.79
chicken_biryani,nonveg,rice,medium,medium,room,26.7,closed,12.7,0.0
samosa,veg,fried,low,high,room,37.3,open,23.8,0.0
naan,veg,bread,low,medium,room,29.3,open,37.1,0.0
chicken_biryani,nonveg,rice,medium,medium,room,37.1,closed,29.6,0.0
plain_rice,veg,rice,medium,low,fridge,7.2,closed,43.7,4.39
fish_curry,nonveg,curry,high,low,fridge,7.9,open,21.1,1.65
roti,veg,bread,low,low,room,34.4,closed,11.0,4.67
halwa,veg,sweet,medium,high,fridge,2.5,closed,33.3,33.28
milk,dairy,liquid,high,low,fridge,2.8,open,37.6,0.0
jeera_rice,veg,rice,medium,low,fridge,3.3,closed,41.9,0.0
dal_tadka,veg,curry,high,low,room,25.5,closed,45.0,0.0
veg_pulao,veg,rice,medium,medium,room,37.6,closed,30.6,0.0
curd,dairy,liquid,high,low,room,37.4,open,20.0,0.0
samosa,veg,fried,low,high,room,27.9,closed,41.9,0.0
halwa,veg,sweet,medium,high,fridge,4.5,closed,44.1,40.64
dal_tadka,veg,curry,high,low,room,24.9,open,33.0,0.0
plain_rice,veg,rice,medium,low,fridge,6.8,open,23.6,18.1
dal_tadka,veg,curry,high,low,room,32.9,closed,16.6,0.0
plain_rice,veg,rice,medium,low,fridge,6.9,closed,44.7,0.0
plain_rice,veg,rice,medium,low,fridge,3.3,closed,28.6,3.49
idli,veg,breakfast,medium,low,fridge,2.2,closed,27.3,17.87
naan,veg,bread,low,medium,fridge,2.2,closed,4.8,50.21
chicken_curry,nonveg,curry,high,medium,room,24.4,open,35.0,0.0
paneer_butter_masala,dairy,curry,high,medium,room,34.5,open,44.8,0.0
veg_pulao,veg,rice,medium,medium,room,27.7,closed,44.0,0.0
jeera_rice,veg,rice,medium,low,room,36.3,open,33.1,0.0
naan,veg,bread,low,medium,fridge,2.1,closed,31.0,24.57
naan,veg,bread,low,medium,fridge,6.9,closed,20.5,41.74
paratha,veg,bread,low,high,fridge,6.2,open,11.1,53.18
jeera_rice,veg,rice,medium,low,fridge,4.6,closed,22.0,22.51
paratha,veg,bread,low,high,fridge,2.0,open,33.0,33.61
chicken_curry,nonveg,curry,high,medium,room,36.0,closed,33.2,0.0
chicken_curry,nonveg,curry,high,medium,room,28.7,closed,36.7,0.0
dosa,veg,breakfast,medium,low,room,35.0,open,15.2,0.0
halwa,veg,sweet,medium,high,room,32.3,open,40.9,0.0
paneer_butter_masala,dairy,curry,high,medium,room,24.9,open,37.4,0.0
milk,dairy,liquid,high,low,fridge,4.2,open,14.2,35.07
idli,veg,breakfast,medium,low,fridge,5.3,open,27.1,8.35
curd,dairy,liquid,high,low,room,36.1,closed,42.4,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,6.0,closed,47.9,0.0
samosa,veg,fried,low,high,fridge,7.1,open,22.6,10.7
paratha,veg,bread,low,high,fridge,6.7,closed,41.7,31.21
chicken_curry,nonveg,curry,high,medium,fridge,5.4,open,39.0,0.0
idli,veg,breakfast,medium,low,room,25.9,open,7.4,5.79
naan,veg,bread,low,medium,room,33.8,open,44.5,0.0
idli,veg,breakfast,medium,low,room,35.7,open,20.3,0.0
paneer_butter_masala,dairy,curry,high,medium,room,24.3,open,0.1,7.65
paratha,veg,bread,low,high,room,33.1,closed,29.3,0.0
plain_rice,veg,rice,medium,low,room,30.9,closed,3.4,7.88
halwa,veg,sweet,medium,high,fridge,2.2,open,2.1,69.55
fish_curry,nonveg,curry,high,low,room,29.4,closed,16.1,0.0
paneer_butter_masala,dairy,curry,high,medium,room,24.6,closed,20.5,0.0
roti,veg,bread,low,low,fridge,7.5,open,37.7,10.29
dosa,veg,breakfast,medium,low,room,30.8,open,23.5,0.0
samosa,veg,fried,low,high,room,36.0,open,4.7,5.77
samosa,veg,fried,low,high,fridge,6.2,closed,23.0,33.81
milk,dairy,liquid,high,low,fridge,4.1,open,7.2,43.48
chicken_curry,nonveg,curry,high,medium,room,31.3,open,9.3,0.0
idli,veg,breakfast,medium,low,fridge,4.2,closed,4.0,40.86
naan,veg,bread,low,medium,fridge,4.9,open,37.7,2.62
naan,veg,bread,low,medium,fridge,8.0,open,27.7,20.57
naan,veg,bread,low,medium,fridge,5.3,open,36.8,15.93
roti,veg,bread,low,low,room,28.5,open,26.6,0.0
paratha,veg,bread,low,high,fridge,3.1,open,26.5,32.19
plain_rice,veg,rice,medium,low,fridge,4.1,open,2.8,38.05
dal_tadka,veg,curry,high,low,room,28.3,open,8.5,5.4
pakora,veg,fried,low,high,fridge,2.5,open,20.5,21.34
samosa,veg,fried,low,high,fridge,5.9,open,12.2,26.06
samosa,veg,fried,low,high,fridge,4.5,closed,25.4,12.69
chicken_biryani,nonveg,rice,medium,medium,room,30.2,open,37.8,0.0
idli,veg,breakfast,medium,low,room,37.4,closed,44.7,0.0
veg_pulao,veg,rice,medium,medium,fridge,2.3,open,2.1,28.45
samosa,veg,fried,low,high,fridge,6.4,closed,33.6,1.82
dal_tadka,veg,curry,high,low,room,33.3,open,1.5,9.71
halwa,veg,sweet,medium,high,room,32.6,open,7.8,9.06
roti,veg,bread,low,low,room,37.5,open,24.5,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,5.7,closed,23.6,7.13
fish_curry,nonveg,curry,high,low,fridge,4.3,closed,12.4,16.36
idli,veg,breakfast,medium,low,fridge,5.0,closed,23.4,23.77
chicken_curry,nonveg,curry,high,medium,fridge,6.5,open,11.8,11.5
naan,veg,bread,low,medium,fridge,4.2,closed,15.5,43.01
plain_rice,veg,rice,medium,low,fridge,7.1,open,36.9,5.55
gulab_jamun,dairy,sweet,high,medium,room,27.5,closed,3.9,20.55
milk,dairy,liquid,high,low,fridge,4.6,open,47.7,0.0
chicken_biryani,nonveg,rice,medium,medium,room,31.7,open,30.7,0.0
halwa,veg,sweet,medium,high,fridge,7.0,open,34.6,37.25
jeera_rice,veg,rice,medium,low,room,34.1,open,30.7,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,4.0,closed,4.8,28.07
paratha,veg,bread,low,high,fridge,5.7,open,34.6,14.44
dosa,veg,breakfast,medium,low,room,26.8,open,26.6,0.0
curd,dairy,liquid,high,low,room,37.3,closed,36.5,0.0
dal_tadka,veg,curry,high,low,room,36.4,open,4.5,2.5
fish_curry,nonveg,curry,high,low,room,28.7,open,45.0,0.0
chicken_curry,nonveg,curry,high,medium,fridge,2.3,closed,18.2,18.51
veg_pulao,veg,rice,medium,medium,fridge,7.5,closed,46.4,0.0
dosa,veg,breakfast,medium,low,room,27.9,closed,18.8,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,3.4,closed,5.4,31.26
plain_rice,veg,rice,medium,low,fridge,2.5,closed,45.2,0.0
fish_curry,nonveg,curry,high,low,fridge,3.6,open,1.6,21.98
curd,dairy,liquid,high,low,room,27.0,closed,17.0,0.0
roti,veg,bread,low,low,room,27.5,closed,1.3,22.46
paneer_butter_masala,dairy,curry,high,medium,room,25.0,open,34.3,0.0
chicken_biryani,nonveg,rice,medium,medium,room,32.9,closed,20.7,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,6.3,closed,38.4,29.41
dosa,veg,breakfast,medium,low,fridge,7.5,closed,7.2,22.6
dal_tadka,veg,curry,high,low,room,35.4,closed,12.2,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,4.0,open,18.2,28.09
chicken_curry,nonveg,curry,high,medium,fridge,2.9,closed,12.1,22.74
chicken_curry,nonveg,curry,high,medium,fridge,7.5,closed,36.5,0.45
dosa,veg,breakfast,medium,low,room,37.9,closed,31.2,0.0
dal_tadka,veg,curry,high,low,fridge,7.1,open,15.9,26.36
naan,veg,bread,low,medium,fridge,6.8,closed,6.4,48.92
plain_rice,veg,rice,medium,low,fridge,7.6,open,19.5,21.31
naan,veg,bread,low,medium,fridge,7.5,open,2.5,44.0
plain_rice,veg,rice,medium,low,room,29.3,open,27.5,0.0
pakora,veg,fried,low,high,fridge,5.7,open,29.3,2.9
paneer_butter_masala,dairy,curry,high,medium,fridge,3.9,open,5.7,14.73
gulab_jamun,dairy,sweet,high,medium,room,35.5,open,35.9,0.0
plain_rice,veg,rice,medium,low,room,34.3,closed,4.8,3.67
paneer_butter_masala,dairy,curry,high,medium,room,26.0,closed,18.8,0.0
dosa,veg,breakfast,medium,low,fridge,7.7,closed,21.8,4.33
dosa,veg,breakfast,medium,low,fridge,5.5,closed,31.1,0.0
dal_tadka,veg,curry,high,low,fridge,5.0,open,19.9,14.86
paratha,veg,bread,low,high,fridge,5.8,closed,47.9,9.88
halwa,veg,sweet,medium,high,room,35.2,closed,24.8,0.0
roti,veg,bread,low,low,room,29.5,closed,46.8,0.0
gulab_jamun,dairy,sweet,high,medium,room,28.3,closed,7.7,16.79
jeera_rice,veg,rice,medium,low,room,31.1,closed,40.2,0.0
jeera_rice,veg,rice,medium,low,room,31.6,closed,43.8,0.0
dal_tadka,veg,curry,high,low,fridge,5.2,open,19.2,21.0
curd,dairy,liquid,high,low,room,35.3,closed,30.2,0.0
dosa,veg,breakfast,medium,low,room,31.2,closed,14.7,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,4.7,closed,3.1,69.03
chicken_biryani,nonveg,rice,medium,medium,fridge,2.6,closed,22.9,5.54
samosa,veg,fried,low,high,room,27.0,closed,15.5,3.01
dosa,veg,breakfast,medium,low,fridge,5.6,closed,25.3,15.14
naan,veg,bread,low,medium,room,36.4,closed,23.0,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,7.8,closed,28.0,37.49
veg_pulao,veg,rice,medium,medium,fridge,7.9,closed,10.3,29.48
gulab_jamun,dairy,sweet,high,medium,room,34.5,open,34.0,0.0
dosa,veg,breakfast,medium,low,fridge,2.7,closed,4.4,33.02
dosa,veg,breakfast,medium,low,room,36.2,closed,9.7,0.0
plain_rice,veg,rice,medium,low,fridge,4.1,closed,9.2,21.7
plain_rice,veg,rice,medium,low,room,26.7,closed,12.3,0.0
curd,dairy,liquid,high,low,fridge,6.9,closed,14.1,51.03
naan,veg,bread,low,medium,fridge,7.1,closed,15.4,29.11
milk,dairy,liquid,high,low,room,33.5,closed,45.4,0.0
pakora,veg,fried,low,high,room,25.6,open,20.3,0.0
chicken_biryani,nonveg,rice,medium,medium,room,34.7,open,29.6,0.0
halwa,veg,sweet,medium,high,fridge,2.0,open,25.8,26.4
halwa,veg,sweet,medium,high,room,24.2,open,20.3,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,2.8,open,1.5,20.21
idli,veg,breakfast,medium,low,room,34.8,closed,21.3,0.0
idli,veg,breakfast,medium,low,room,30.5,closed,15.9,0.0
dosa,veg,breakfast,medium,low,room,35.6,open,45.1,0.0
fish_curry,nonveg,curry,high,low,fridge,5.2,open,12.1,9.9
dosa,veg,breakfast,medium,low,room,32.9,closed,7.9,2.64
dal_tadka,veg,curry,high,low,room,32.5,open,38.6,0.0
roti,veg,bread,low,low,fridge,3.8,open,9.4,33.02
chicken_biryani,nonveg,rice,medium,medium,fridge,8.0,open,19.2,8.02
gulab_jamun,dairy,sweet,high,medium,room,28.3,open,29.8,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,3.9,open,37.0,38.13
naan,veg,bread,low,medium,fridge,2.6,open,15.2,28.58
gulab_jamun,dairy,sweet,high,medium,fridge,2.7,closed,16.8,46.39
gulab_jamun,dairy,sweet,high,medium,fridge,5.2,open,8.1,40.62
veg_pulao,veg,rice,medium,medium,room,28.0,open,13.0,0.0
jeera_rice,veg,rice,medium,low,room,27.9,open,24.4,0.0
paratha,veg,bread,low,high,fridge,5.4,closed,38.2,28.15
chicken_curry,nonveg,curry,high,medium,fridge,7.4,closed,27.9,3.41
veg_pulao,veg,rice,medium,medium,room,35.5,closed,47.7,0.0
halwa,veg,sweet,medium,high,room,34.5,open,5.1,12.09
halwa,veg,sweet,medium,high,room,33.3,open,23.6,0.0
dal_tadka,veg,curry,high,low,room,31.0,open,14.9,0.0
dal_tadka,veg,curry,high,low,fridge,6.2,open,27.2,6.75
dosa,veg,breakfast,medium,low,room,29.8,closed,18.9,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,5.0,closed,13.2,44.78
jeera_rice,veg,rice,medium,low,fridge,6.3,open,32.4,0.0
veg_pulao,veg,rice,medium,medium,fridge,4.1,closed,23.7,16.71
curd,dairy,liquid,high,low,room,34.2,closed,28.0,0.0
dal_tadka,veg,curry,high,low,fridge,6.1,open,27.4,4.29
naan,veg,bread,low,medium,room,24.9,closed,22.4,0.0
dal_tadka,veg,curry,high,low,room,25.2,closed,30.4,0.0
milk,dairy,liquid,high,low,fridge,5.9,closed,27.5,22.09
pakora,veg,fried,low,high,fridge,5.5,open,22.5,17.46
curd,dairy,liquid,high,low,room,36.4,closed,16.0,0.0
roti,veg,bread,low,low,room,32.4,closed,1.5,15.55
chicken_curry,nonveg,curry,high,medium,fridge,2.4,closed,38.5,0.0
dosa,veg,breakfast,medium,low,fridge,5.0,open,1.8,24.68
paneer_butter_masala,dairy,curry,high,medium,room,31.8,closed,11.3,0.0
idli,veg,breakfast,medium,low,room,27.3,open,44.3,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,2.6,closed,8.8,16.35
dosa,veg,breakfast,medium,low,room,34.3,open,31.1,0.0
samosa,veg,fried,low,high,room,35.9,open,44.3,0.0
milk,dairy,liquid,high,low,room,27.8,closed,9.6,0.0
dosa,veg,breakfast,medium,low,fridge,7.2,open,38.0,0.0
idli,veg,breakfast,medium,low,room,27.2,open,39.6,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,6.8,closed,20.3,14.78
fish_curry,nonveg,curry,high,low,fridge,7.5,open,26.1,0.0
paneer_butter_masala,dairy,curry,high,medium,room,28.4,closed,32.8,0.0
curd,dairy,liquid,high,low,fridge,2.5,open,17.6,27.92
milk,dairy,liquid,high,low,room,32.0,open,22.1,0.0
veg_pulao,veg,rice,medium,medium,fridge,6.2,closed,25.2,15.59
chicken_curry,nonveg,curry,high,medium,room,29.9,open,17.8,0.0
milk,dairy,liquid,high,low,fridge,7.7,open,37.8,1.2
dosa,veg,breakfast,medium,low,room,29.3,open,5.6,3.73
gulab_jamun,dairy,sweet,high,medium,fridge,5.7,open,21.4,44.12
idli,veg,breakfast,medium,low,fridge,3.3,open,42.0,0.0
naan,veg,bread,low,medium,fridge,5.4,open,29.6,19.89
curd,dairy,liquid,high,low,fridge,4.9,open,18.8,32.13
samosa,veg,fried,low,high,fridge,3.2,closed,20.5,32.66
paneer_butter_masala,dairy,curry,high,medium,room,27.4,closed,8.3,0.0
samosa,veg,fried,low,high,fridge,5.1,closed,24.3,19.3
naan,veg,bread,low,medium,fridge,6.0,closed,40.1,12.61
samosa,veg,fried,low,high,fridge,6.2,closed,9.1,30.11
curd,dairy,liquid,high,low,fridge,6.4,closed,25.7,37.5
gulab_jamun,dairy,sweet,high,medium,room,31.4,open,31.7,0.0
naan,veg,bread,low,medium,room,27.0,closed,7.5,9.04
pakora,veg,fried,low,high,room,34.7,closed,13.4,0.0
halwa,veg,sweet,medium,high,room,26.0,closed,8.8,19.16
veg_pulao,veg,rice,medium,medium,room,34.6,open,41.1,0.0
fish_curry,nonveg,curry,high,low,fridge,5.3,open,12.3,10.83
plain_rice,veg,rice,medium,low,fridge,3.4,closed,42.9,0.0
idli,veg,breakfast,medium,low,room,27.5,open,21.0,0.0
halwa,veg,sweet,medium,high,fridge,6.6,closed,0.2,71.84
halwa,veg,sweet,medium,high,fridge,7.3,open,40.7,11.57
halwa,veg,sweet,medium,high,room,31.5,open,29.9,0.0
samosa,veg,fried,low,high,fridge,6.2,closed,0.5,53.11
gulab_jamun,dairy,sweet,high,medium,fridge,3.4,open,4.4,62.56
milk,dairy,liquid,high,low,room,24.4,closed,4.4,4.25
chicken_biryani,nonveg,rice,medium,medium,room,28.1,closed,19.3,0.0
paneer_butter_masala,dairy,curry,high,medium,room,35.6,closed,4.9,3.48
veg_pulao,veg,rice,medium,medium,room,26.1,closed,18.1,0.0
paratha,veg,bread,low,high,fridge,2.2,closed,5.4,58.51
idli,veg,breakfast,medium,low,fridge,4.9,open,39.3,0.0
samosa,veg,fried,low,high,fridge,4.9,open,14.4,16.91
roti,veg,bread,low,low,fridge,5.0,closed,42.0,13.93
gulab_jamun,dairy,sweet,high,medium,fridge,3.8,closed,13.6,55.46
veg_pulao,veg,rice,medium,medium,room,37.4,closed,24.7,0.0
veg_pulao,veg,rice,medium,medium,fridge,5.5,closed,6.2,32.19
samosa,veg,fried,low,high,fridge,4.1,open,40.3,9.38
pakora,veg,fried,low,high,room,27.1,open,33.9,0.0
jeera_rice,veg,rice,medium,low,fridge,5.3,open,23.0,16.93
dosa,veg,breakfast,medium,low,fridge,3.3,open,10.1,13.13
paneer_butter_masala,dairy,curry,high,medium,fridge,5.8,closed,9.5,13.3
jeera_rice,veg,rice,medium,low,room,33.5,open,21.4,0.0
fish_curry,nonveg,curry,high,low,fridge,5.0,open,30.9,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,4.0,closed,32.9,27.3
roti,veg,bread,low,low,fridge,6.7,closed,47.9,8.85
halwa,veg,sweet,medium,high,fridge,6.6,open,41.9,7.32
dal_tadka,veg,curry,high,low,room,29.0,open,10.8,0.86
dosa,veg,breakfast,medium,low,room,31.8,open,16.9,0.0
curd,dairy,liquid,high,low,room,24.9,closed,15.8,0.0
dosa,veg,breakfast,medium,low,room,31.8,open,16.6,0.0
dal_tadka,veg,curry,high,low,room,34.2,open,24.4,0.0
pakora,veg,fried,low,high,room,24.8,open,26.1,0.0
fish_curry,nonveg,curry,high,low,fridge,6.3,closed,9.6,16.0
paratha,veg,bread,low,high,room,27.1,closed,38.8,0.0
gulab_jamun,dairy,sweet,high,medium,room,31.9,open,24.4,0.0
curd,dairy,liquid,high,low,fridge,3.1,open,18.5,44.35
pakora,veg,fried,low,high,room,31.3,closed,47.8,0.0
chicken_biryani,nonveg,rice,medium,medium,room,33.6,open,18.3,0.0
fish_curry,nonveg,curry,high,low,room,26.9,open,11.7,0.0
roti,veg,bread,low,low,fridge,3.5,open,23.3,33.67
halwa,veg,sweet,medium,high,room,30.8,closed,25.5,0.0
pakora,veg,fried,low,high,room,34.8,open,1.6,8.45
curd,dairy,liquid,high,low,fridge,3.5,closed,7.0,52.91
jeera_rice,veg,rice,medium,low,room,30.0,closed,7.9,3.72
naan,veg,bread,low,medium,fridge,3.3,closed,23.3,21.64
chicken_biryani,nonveg,rice,medium,medium,fridge,5.9,closed,3.7,23.28
paneer_butter_masala,dairy,curry,high,medium,fridge,3.2,open,10.2,10.83
samosa,veg,fried,low,high,room,27.9,closed,34.9,0.0
curd,dairy,liquid,high,low,fridge,3.8,open,6.6,45.21
paratha,veg,bread,low,high,room,29.1,open,42.0,0.0
roti,veg,bread,low,low,room,29.3,closed,37.8,0.0
pakora,veg,fried,low,high,room,34.9,closed,30.7,0.0
curd,dairy,liquid,high,low,fridge,6.2,closed,4.4,56.68
curd,dairy,liquid,high,low,room,31.5,open,9.7,0.59
halwa,veg,sweet,medium,high,room,27.3,open,25.2,4.93
halwa,veg,sweet,medium,high,fridge,3.7,open,7.3,60.42
chicken_curry,nonveg,curry,high,medium,room,36.2,open,20.2,0.0
jeera_rice,veg,rice,medium,low,room,25.5,open,36.9,0.0
fish_curry,nonveg,curry,high,low,room,30.1,open,42.2,0.0
chicken_curry,nonveg,curry,high,medium,room,31.0,closed,33.2,0.0
halwa,veg,sweet,medium,high,room,35.7,closed,10.2,10.1
samosa,veg,fried,low,high,room,29.4,open,15.8,4.38
chicken_curry,nonveg,curry,high,medium,fridge,6.4,open,16.5,7.29
roti,veg,bread,low,low,room,24.7,closed,36.9,0.0
jeera_rice,veg,rice,medium,low,fridge,7.2,closed,26.1,13.88
samosa,veg,fried,low,high,fridge,3.3,closed,17.8,24.74
veg_pulao,veg,rice,medium,medium,room,36.9,closed,28.9,0.0
chicken_biryani,nonveg,rice,medium,medium,room,34.9,open,40.5,0.0
jeera_rice,veg,rice,medium,low,room,33.6,closed,17.1,0.0
fish_curry,nonveg,curry,high,low,fridge,3.5,open,38.5,0.0
naan,veg,bread,low,medium,fridge,7.1,open,25.4,19.37
dal_tadka,veg,curry,high,low,room,30.9,closed,34.2,0.0
dal_tadka,veg,curry,high,low,fridge,7.7,closed,41.6,0.0
gulab_jamun,dairy,sweet,high,medium,room,35.3,closed,28.0,0.0
paratha,veg,bread,low,high,fridge,5.9,closed,44.6,23.16
idli,veg,breakfast,medium,low,fridge,3.2,closed,47.2,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,3.6,closed,47.4,0.0
plain_rice,veg,rice,medium,low,room,33.3,closed,10.4,2.99
roti,veg,bread,low,low,room,24.5,open,39.4,0.0
idli,veg,breakfast,medium,low,fridge,3.0,open,27.1,12.51
pakora,veg,fried,low,high,room,28.3,open,11.2,0.7
chicken_curry,nonveg,curry,high,medium,fridge,8.0,closed,12.8,10.11
samosa,veg,fried,low,high,room,34.0,open,7.4,4.46
veg_pulao,veg,rice,medium,medium,fridge,4.8,closed,5.4,20.53
curd,dairy,liquid,high,low,room,35.0,open,36.8,0.0
halwa,veg,sweet,medium,high,fridge,2.9,open,32.6,43.21
samosa,veg,fried,low,high,fridge,5.1,closed,38.6,2.89
samosa,veg,fried,low,high,room,37.3,closed,32.5,0.0
dosa,veg,breakfast,medium,low,room,29.7,closed,12.5,0.0
fish_curry,nonveg,curry,high,low,fridge,7.8,open,34.7,0.0
paratha,veg,bread,low,high,room,35.7,open,32.3,0.0
plain_rice,veg,rice,medium,low,fridge,3.4,open,5.8,35.76
jeera_rice,veg,rice,medium,low,room,31.8,closed,31.3,0.0
gulab_jamun,dairy,sweet,high,medium,room,36.1,closed,13.7,6.09
halwa,veg,sweet,medium,high,room,36.8,closed,12.9,12.96
idli,veg,breakfast,medium,low,fridge,3.1,open,1.3,32.31
milk,dairy,liquid,high,low,room,35.7,closed,29.4,0.0
jeera_rice,veg,rice,medium,low,fridge,2.2,open,20.4,14.09
plain_rice,veg,rice,medium,low,fridge,7.3,closed,39.9,0.0
veg_pulao,veg,rice,medium,medium,fridge,4.8,closed,5.6,30.4
pakora,veg,fried,low,high,room,29.0,open,15.5,0.73
paratha,veg,bread,low,high,fridge,3.4,open,39.9,10.42
pakora,veg,fried,low,high,room,29.9,open,28.9,0.0
jeera_rice,veg,rice,medium,low,fridge,2.0,closed,27.6,16.53
jeera_rice,veg,rice,medium,low,fridge,3.7,closed,15.0,15.68
roti,veg,bread,low,low,fridge,3.1,closed,0.8,61.36
paratha,veg,bread,low,high,room,28.2,closed,10.7,13.48
roti,veg,bread,low,low,fridge,4.8,closed,8.8,39.73
roti,veg,bread,low,low,fridge,4.3,open,3.9,57.4
paratha,veg,bread,low,high,fridge,7.8,open,39.8,5.57
halwa,veg,sweet,medium,high,room,34.6,open,5.1,15.98
dosa,veg,breakfast,medium,low,fridge,4.1,closed,37.0,0.0
jeera_rice,veg,rice,medium,low,fridge,4.2,closed,3.4,39.74
gulab_jamun,dairy,sweet,high,medium,room,27.8,open,32.8,0.0
milk,dairy,liquid,high,low,fridge,5.6,open,16.3,29.15
roti,veg,bread,low,low,fridge,4.9,closed,39.1,10.38
pakora,veg,fried,low,high,fridge,3.5,open,10.0,24.94
gulab_jamun,dairy,sweet,high,medium,room,24.8,closed,8.6,15.99
paratha,veg,bread,low,high,fridge,5.2,open,41.8,0.0
dal_tadka,veg,curry,high,low,room,24.3,open,27.5,0.0
paratha,veg,bread,low,high,room,28.1,closed,44.0,0.0
chicken_curry,nonveg,curry,high,medium,fridge,2.2,open,28.9,0.0
milk,dairy,liquid,high,low,fridge,7.4,open,12.5,34.56
naan,veg,bread,low,medium,room,30.8,open,7.1,9.57
gulab_jamun,dairy,sweet,high,medium,room,36.9,open,4.7,14.37
chicken_curry,nonveg,curry,high,medium,room,33.6,open,40.6,0.0
pakora,veg,fried,low,high,room,30.6,open,32.1,0.0
fish_curry,nonveg,curry,high,low,fridge,4.5,closed,35.2,0.0
samosa,veg,fried,low,high,room,28.4,open,39.5,0.0
curd,dairy,liquid,high,low,room,35.2,closed,21.8,0.0
curd,dairy,liquid,high,low,fridge,3.2,closed,18.2,31.59
curd,dairy,liquid,high,low,fridge,7.4,closed,45.4,2.6
paneer_butter_masala,dairy,curry,high,medium,room,26.3,open,1.9,6.01
roti,veg,bread,low,low,fridge,7.1,closed,4.9,54.37
roti,veg,bread,low,low,fridge,3.8,open,3.4,53.04
jeera_rice,veg,rice,medium,low,fridge,7.4,open,23.7,4.32
halwa,veg,sweet,medium,high,room,36.5,open,14.9,7.32
chicken_biryani,nonveg,rice,medium,medium,fridge,7.2,closed,27.6,0.0
curd,dairy,liquid,high,low,room,29.9,closed,40.4,0.0
curd,dairy,liquid,high,low,room,30.4,open,13.5,0.0
halwa,veg,sweet,medium,high,room,34.8,closed,38.1,0.0
paratha,veg,bread,low,high,room,33.8,closed,32.0,0.0
dosa,veg,breakfast,medium,low,room,25.8,closed,20.0,0.0
pakora,veg,fried,low,high,fridge,5.6,open,38.7,0.0
jeera_rice,veg,rice,medium,low,fridge,5.1,open,11.2,30.97
fish_curry,nonveg,curry,high,low,fridge,2.8,open,37.9,0.0
chicken_curry,nonveg,curry,high,medium,room,34.3,closed,42.6,0.0
chicken_curry,nonveg,curry,high,medium,fridge,7.5,open,34.2,0.0
chicken_biryani,nonveg,rice,medium,medium,room,26.6,open,21.8,0.0
dal_tadka,veg,curry,high,low,room,31.0,open,39.5,0.0
chicken_curry,nonveg,curry,high,medium,room,27.6,open,22.8,0.0
fish_curry,nonveg,curry,high,low,room,30.8,open,45.2,0.0
paratha,veg,bread,low,high,fridge,7.0,open,23.9,41.42
roti,veg,bread,low,low,room,24.0,closed,47.1,0.0
milk,dairy,liquid,high,low,fridge,5.3,open,13.3,36.53
pakora,veg,fried,low,high,fridge,3.9,closed,43.9,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,7.4,closed,46.4,0.0
roti,veg,bread,low,low,room,27.6,open,13.2,7.0
gulab_jamun,dairy,sweet,high,medium,room,34.5,closed,28.2,0.0
dal_tadka,veg,curry,high,low,fridge,3.7,open,3.7,36.76
pakora,veg,fried,low,high,fridge,3.8,open,42.3,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,4.1,open,31.5,0.0
fish_curry,nonveg,curry,high,low,room,32.1,open,38.2,0.0
naan,veg,bread,low,medium,fridge,4.9,open,24.2,12.61
chicken_curry,nonveg,curry,high,medium,fridge,4.5,open,2.7,16.91
